model,threshold,review_rate,precision,recall,f1
logistic,0.2,0.6251402918069585,0.24775583482944344,0.8625,0.38493723849372385
logistic,0.3,0.4882154882154882,0.29195402298850576,0.79375,0.426890756302521
logistic,0.35,0.43097643097643096,0.3125,0.75,0.4411764705882353
logistic,0.4,0.3894500561167228,0.33429394812680113,0.725,0.45759368836291914
logistic,0.5,0.31200897867564537,0.3776978417266187,0.65625,0.4794520547945205
random_forest,0.2,0.3378226711560045,0.3787375415282392,0.7125,0.4945770065075922
random_forest,0.3,0.17059483726150393,0.4868421052631579,0.4625,0.47435897435897434
random_forest,0.35,0.12121212121212122,0.5648148148148148,0.38125,0.4552238805970149
random_forest,0.4,0.08754208754208755,0.5897435897435898,0.2875,0.3865546218487395
random_forest,0.5,0.04489337822671156,0.575,0.14375,0.23
catboost,0.2,0.5117845117845118,0.2894736842105263,0.825,0.42857142857142855
catboost,0.3,0.3602693602693603,0.34579439252336447,0.69375,0.46153846153846156
catboost,0.35,0.30976430976430974,0.38405797101449274,0.6625,0.48623853211009177
catboost,0.4,0.2772166105499439,0.4008097165991903,0.61875,0.4864864864864865
catboost,0.5,0.21099887766554434,0.4574468085106383,0.5375,0.4942528735632184
lightgbm,0.2,0.2962962962962963,0.39015151515151514,0.64375,0.4858490566037736
lightgbm,0.3,0.2244668911335578,0.47,0.5875,0.5222222222222223
lightgbm,0.35,0.19865319865319866,0.4971751412429379,0.55,0.5222551928783383
lightgbm,0.4,0.1728395061728395,0.5194805194805194,0.5,0.5095541401273885
lightgbm,0.5,0.14590347923681257,0.5230769230769231,0.425,0.4689655172413793
xgboost,0.2,0.33221099887766553,0.36486486486486486,0.675,0.47368421052631576
xgboost,0.3,0.25813692480359146,0.40869565217391307,0.5875,0.48205128205128206
xgboost,0.35,0.21885521885521886,0.4512820512820513,0.55,0.49577464788732395
xgboost,0.4,0.19079685746352412,0.4588235294117647,0.4875,0.4727272727272727
xgboost,0.5,0.14029180695847362,0.52,0.40625,0.45614035087719296
