model,coverage_fraction,k,captured_positives,precision_at_k,recall_at_k,lift_vs_base_rate,base_positive_rate
logistic,0.05,45,22,0.4888888888888889,0.1375,2.7225,0.17957351290684623
logistic,0.1,90,46,0.5111111111111111,0.2875,2.84625,0.17957351290684623
logistic,0.2,179,81,0.45251396648044695,0.50625,2.5199371508379893,0.17957351290684623
random_forest,0.05,45,25,0.5555555555555556,0.15625,3.0937500000000004,0.17957351290684623
random_forest,0.1,90,53,0.5888888888888889,0.33125,3.2793750000000004,0.17957351290684623
random_forest,0.2,179,82,0.4581005586592179,0.5125,2.5510474860335197,0.17957351290684623
catboost,0.05,45,26,0.5777777777777777,0.1625,3.2175,0.17957351290684623
catboost,0.1,90,49,0.5444444444444444,0.30625,3.031875,0.17957351290684623
catboost,0.2,179,85,0.4748603351955307,0.53125,2.644378491620112,0.17957351290684623
lightgbm,0.05,45,25,0.5555555555555556,0.15625,3.0937500000000004,0.17957351290684623
lightgbm,0.1,90,53,0.5888888888888889,0.33125,3.2793750000000004,0.17957351290684623
lightgbm,0.2,179,89,0.4972067039106145,0.55625,2.768819832402235,0.17957351290684623
xgboost,0.05,45,25,0.5555555555555556,0.15625,3.0937500000000004,0.17957351290684623
xgboost,0.1,90,48,0.5333333333333333,0.3,2.97,0.17957351290684623
xgboost,0.2,179,82,0.4581005586592179,0.5125,2.5510474860335197,0.17957351290684623
