feature,mean_abs_shap,rank
Urine_low_output_hours_last12,0.35620738230067056,1
Creatinine_delta,0.23610427932932898,2
Urine_last6_sum,0.1421763889932911,3
Urine_ml_per_kg_hr_last6_mean,0.1404324485760749,4
Age_first,0.12813834742966415,5
Creatinine_mean,0.11078159257777431,6
Creatinine_last,0.10191567674688692,7
Height_first,0.09964630291009774,8
Weight_last,0.08358702269283265,9
ICUType_first,0.07528427131326797,10
Weight_max,0.07316381463244306,11
NISysABP_last,0.0731510830461479,12
HCT_delta,0.07063631085027586,13
Weight_min,0.06830898467699065,14
Urine_ml_per_kg_hr_last12_mean,0.06578338183058077,15
Creatinine_relative_delta,0.06545722127363869,16
NISysABP_delta,0.060417499591135036,17
RespRate_min,0.055199592369283235,18
Urine_low_output_hours_24h,0.049553078011700925,19
RespRate_mean,0.0460782340360204,20
Urine_longest_low_output_streak,0.04454445480792457,21
HCT_last,0.04448751522530242,22
Platelets_min,0.04139667576765623,23
PaCO2_std,0.041250441617914135,24
Temp_mean,0.041069870720647945,25
Urine_last12_sum,0.04083876430339755,26
PaO2_std,0.04061408289151218,27
SysABP_std,0.039586101950986184,28
BUN_mean,0.03900468805971017,29
Urine_ml_per_kg_hr_min,0.0385098737136761,30
NIDiasABP_delta,0.038002938398670506,31
RespRate_missing_rate,0.03752574148449818,32
NIDiasABP_last,0.035907082258024185,33
Platelets_std,0.035043187412834916,34
PaO2_max,0.03462853108256843,35
Glucose_std,0.03443950309192192,36
FiO2_missing_rate,0.03395562193491308,37
NIMAP_min,0.033464454305286225,38
BUN_Creatinine_ratio_last,0.033441451072369545,39
NISysABP_mean,0.03324165848912361,40
RespRate_last,0.03185565963945934,41
PaCO2_count,0.0313045029681008,42
Na_mean,0.031238929756819158,43
SysABP_last,0.0308033129110846,44
FiO2_mean,0.030295062115749914,45
BUN_last,0.02927666898579896,46
Creatinine_max,0.028998942302596496,47
WBC_min,0.028986393944823215,48
Weight_mean,0.02877209480597794,49
NISysABP_max,0.028558017928374046,50
PaCO2_missing_rate,0.028355547728591442,51
K_min,0.027930304330119844,52
NIMAP_delta,0.02765329563381928,53
HR_std,0.02681540427177199,54
K_delta,0.0264352492323284,55
NIMAP_last,0.026392800815510403,56
Lactate_last,0.026259051149481672,57
K_std,0.02516450188087113,58
MechVent_missing_rate,0.02509279292555925,59
PaCO2_max,0.024868144859976977,60
DiasABP_max,0.024743501478914562,61
PaO2_missing_rate,0.024703543399520134,62
SysABP_delta,0.024254354808924655,63
Temp_delta,0.023762327870828753,64
Temp_min,0.023430612310443265,65
HR_min,0.022863134674478952,66
NIDiasABP_mean,0.022607373158240747,67
Na_max,0.022568194471842527,68
MAP_mean,0.02250799029819401,69
HCT_min,0.022272046389713366,70
BUN_max,0.02226160750818762,71
Platelets_last,0.02195999290721449,72
NIMAP_mean,0.021630866890416194,73
SysABP_min,0.020891183285126395,74
PaO2_last,0.02075052077669603,75
HR_max,0.02072082570607094,76
PaO2_min,0.020250717166116865,77
Temp_std,0.019899382752732047,78
PaO2_count,0.019746405543685983,79
NIDiasABP_max,0.019075794391595218,80
HCO3_mean,0.018700310298087282,81
PaO2_mean,0.018695377875347863,82
BUN_std,0.018670387449445054,83
MAP_min,0.01828387024421828,84
RespRate_max,0.01818139580617458,85
HCT_max,0.01793500600280436,86
FiO2_count,0.017870357875817706,87
ALP_mean,0.017749875886118097,88
NISysABP_std,0.017742728451524848,89
Weight_std,0.01760941096373862,90
pH_std,0.017502418190295424,91
pH_missing_rate,0.01703099269873712,92
WBC_delta,0.016929281388395886,93
Urine_sum,0.016582898289808298,94
NIMAP_std,0.016268001843172224,95
Na_last,0.01587431120946459,96
HCT_mean,0.015796650498834927,97
Weight_count,0.01545029541850093,98
BUN_Creatinine_ratio_mean,0.015233900337474127,99
GCS_std,0.014916646918716808,100
Urine_ml_per_kg_hr_mean,0.014748412189005623,101
Mg_delta,0.01470676355693328,102
DiasABP_std,0.014660082178487854,103
MAP_last,0.014525120926620906,104
Glucose_max,0.014486831166165661,105
GCS_mean,0.014451419498228778,106
RespRate_count,0.014285234636605235,107
pH_last,0.01425657427517126,108
Glucose_min,0.014174812846466576,109
Creatinine_slope_last12,0.013959705156153902,110
Mg_mean,0.01386298720323705,111
FiO2_max,0.01372724051262038,112
HCO3_last,0.01331630834704769,113
MAP_delta,0.013184459514889446,114
WBC_last,0.013152548875899233,115
pH_mean,0.013136833090835074,116
Na_min,0.01299707137689356,117
pH_count,0.01278456113043575,118
Glucose_last,0.012659921307962918,119
BUN_min,0.012583607055395947,120
HCT_std,0.012483833343542264,121
pH_delta,0.012398370874910119,122
HR_delta,0.012305314350670024,123
PaO2_delta,0.012069262670180379,124
GCS_last,0.011852255190889078,125
Temp_last,0.011741249432519175,126
Platelets_max,0.011726471744287667,127
ShockIndex_max,0.011407493170217574,128
GCS_min,0.01140234223593878,129
Glucose_delta,0.011396193456009068,130
HCO3_delta,0.011338006657373117,131
K_mean,0.01128921062199499,132
Mg_max,0.010967081307728267,133
Mg_last,0.010740742233899182,134
SaO2_count,0.010649652320575787,135
WBC_mean,0.010594607342298152,136
ALP_last,0.010549572166237461,137
Lactate_min,0.010476376357255788,138
NISysABP_min,0.010364268332741528,139
NIMAP_count,0.01017846374110215,140
Lactate_delta,0.010150218722242428,141
FiO2_std,0.00992642845085473,142
TroponinT_mean,0.009720176307572636,143
Platelets_mean,0.009635170758717825,144
WBC_std,0.009573375767375847,145
Temp_max,0.009415796301955917,146
WBC_max,0.009399582543105314,147
FiO2_min,0.009398516347624156,148
PaCO2_min,0.009353605705124945,149
NIDiasABP_std,0.009091411240043524,150
DiasABP_last,0.00896865851454114,151
HCO3_std,0.008962665317345023,152
Glucose_mean,0.008954173302593234,153
ShockIndex_mean,0.008941181467380804,154
GCS_delta,0.008903354216972394,155
TroponinT_min,0.00889318476510129,156
NIMAP_missing_rate,0.008847460798567993,157
NIMAP_max,0.008840997414503662,158
FiO2_last,0.008840653666315403,159
MAP_max,0.008837746135942303,160
HCO3_min,0.008789160014498948,161
TroponinT_count,0.008750620258264947,162
Glucose_missing_rate,0.008727576165177517,163
HCO3_max,0.008685542587310987,164
DiasABP_min,0.008468696297968155,165
MAP_std,0.008319913645913522,166
Urine_count,0.00814530428545651,167
Bilirubin_mean,0.008119546734827872,168
SysABP_max,0.007887516597922112,169
Mg_min,0.007882411357705135,170
Lactate_max,0.0078269847702582,171
Lactate_std,0.007791359178501425,172
DiasABP_mean,0.007703685026665056,173
Lactate_mean,0.007692970683152369,174
PaCO2_mean,0.007681259544457199,175
Temp_count,0.007673400693845725,176
Mg_std,0.007599303048843336,177
Glucose_count,0.0075630490230942276,178
SysABP_mean,0.007433083487721234,179
DiasABP_missing_rate,0.007417776353735339,180
HR_mean,0.007270191421697886,181
DiasABP_delta,0.007058606286772999,182
Albumin_std,0.006849326675700223,183
Na_std,0.0068091897629435575,184
MAP_below_65_hours,0.006772127652871096,185
BUN_delta,0.006727159392847023,186
RespRate_delta,0.006667379346510785,187
Bilirubin_last,0.006367629463695673,188
Albumin_mean,0.006362938517758452,189
NISysABP_count,0.006311856579636251,190
Platelets_delta,0.006286244430428954,191
K_last,0.006284446030786167,192
FiO2_delta,0.006239957868731209,193
PaCO2_delta,0.006072303489502581,194
SysABP_below_90_hours,0.005991348921573098,195
NIDiasABP_min,0.005829377002079712,196
Platelets_missing_rate,0.005795030978045481,197
SaO2_missing_rate,0.005740536817685975,198
Bilirubin_count,0.0057219764366225785,199
ALT_std,0.00565804067476781,200
HR_last,0.005611751528863928,201
ALP_count,0.005600604412398464,202
ALP_min,0.0053398009354339564,203
Albumin_min,0.005315620371854821,204
Weight_delta,0.005298243659765416,205
pH_min,0.005293657258840368,206
SysABP_count,0.005187853412044026,207
GCS_missing_rate,0.005153489139816607,208
RespRate_std,0.00514392218414163,209
AST_min,0.005130889942390563,210
MAP_missing_rate,0.005113757071519226,211
Bilirubin_min,0.004934062431514293,212
GCS_count,0.004779710456357023,213
SaO2_std,0.004722012225974252,214
AST_max,0.0046745967474742245,215
DiasABP_count,0.0045736776089974895,216
ALP_max,0.004504995843018607,217
ALT_last,0.004469136754859456,218
Albumin_last,0.004465391721209394,219
Urine_missing_rate,0.004389352325948516,220
HCT_count,0.004356087647524492,221
AST_last,0.004299473695157498,222
SysABP_missing_rate,0.004213293365076101,223
Na_delta,0.004031135775956291,224
TroponinT_last,0.003984899852437129,225
ALT_max,0.0038577512896087575,226
NIDiasABP_missing_rate,0.0037440112970059045,227
TroponinT_missing_rate,0.003741073508644995,228
MAP_count,0.0037152084966108174,229
TroponinT_max,0.0036607709755023684,230
Creatinine_max_minus_min,0.0036577292295320893,231
HCT_missing_rate,0.0036227724270467693,232
AST_mean,0.003284526359354094,233
GCS_max,0.00321933150291094,234
Temp_missing_rate,0.003175798099279217,235
Bilirubin_max,0.00315835814503291,236
TroponinI_min,0.0031444293795962596,237
K_max,0.0031413647609092412,238
TroponinT_std,0.0031235607598558133,239
PaCO2_last,0.002975127258056306,240
Platelets_count,0.002967698826936556,241
SaO2_delta,0.0029626655510710583,242
Creatinine_missing_rate,0.002922389473440979,243
AST_missing_rate,0.0028634427987367737,244
ALP_missing_rate,0.002847908938143353,245
Weight_missing_rate,0.002797844056175829,246
AST_count,0.0027966298400464943,247
TroponinT_delta,0.0027513431229054175,248
Gender_first,0.0027506678050214263,249
Albumin_max,0.002707739685364784,250
AST_delta,0.002582819177879184,251
BUN_missing_rate,0.0025550581446909045,252
Mg_missing_rate,0.0022873408715645064,253
K_count,0.002227221216160538,254
ALP_std,0.0021797991471806276,255
Cholesterol_mean,0.002176139791299407,256
SaO2_last,0.0020398317782889365,257
NIDiasABP_count,0.0020148177284109873,258
HCO3_count,0.0020085697988423408,259
Albumin_count,0.0018914170342132983,260
ALT_missing_rate,0.00183004218842043,261
MechVent_count,0.0018053379205481578,262
WBC_missing_rate,0.0017902551615547018,263
Cholesterol_count,0.0017730479072765146,264
ALT_min,0.0017587033465636059,265
Lactate_count,0.001711504688177538,266
Lactate_missing_rate,0.001694547182421305,267
Cholesterol_max,0.0016132967977319005,268
Bilirubin_delta,0.001505264452324157,269
ALT_mean,0.001455681511756552,270
Cholesterol_missing_rate,0.0014003927525405957,271
SaO2_min,0.0013603639456944278,272
ALT_delta,0.001340862111751112,273
Creatinine_count,0.0012722370827267274,274
Albumin_delta,0.001178444290723817,275
AST_std,0.0010612453363739928,276
SaO2_mean,0.0010281566539541234,277
TroponinI_last,0.0010000700126423325,278
Na_count,0.000996133729999907,279
TroponinI_mean,0.0009959159414219688,280
Cholesterol_min,0.0009826696167586344,281
HR_count,0.0009395393215846147,282
TroponinI_std,0.0009271894272681497,283
WBC_count,0.0008822897269960966,284
Bilirubin_std,0.0008672789371584021,285
TroponinI_max,0.0007432389896188908,286
ALT_count,0.0006685895234684494,287
Creatinine_slope_last6,0.0006025457953078357,288
Cholesterol_delta,0.0004181187227865913,289
TroponinI_delta,0.0004169980491365504,290
Cholesterol_last,0.00032984110212965303,291
Albumin_missing_rate,0.0003243644117554639,292
TroponinI_count,0.0003183955181992428,293
K_missing_rate,0.0,294
HCO3_missing_rate,0.0,295
ALP_delta,0.0,296
HR_missing_rate,0.0,297
Mg_count,0.0,298
MechVent_last,0.0,299
MechVent_mean,0.0,300
MechVent_min,0.0,301
MechVent_std,0.0,302
MechVent_delta,0.0,303
MechVent_max,0.0,304
NISysABP_missing_rate,0.0,305
SaO2_max,0.0,306
Bilirubin_missing_rate,0.0,307
BUN_count,0.0,308
Cholesterol_std,0.0,309
Na_missing_rate,0.0,310
TroponinI_missing_rate,0.0,311
pH_max,0.0,312
Urine_any_6h_oliguria,0.0,313
