feature,mean_abs_shap,rank
Urine_low_output_hours_last12,0.4280581305997321,1
Creatinine_delta,0.31297913988184395,2
Urine_ml_per_kg_hr_last6_mean,0.2704682408126397,3
Age_first,0.19090421539216193,4
Weight_last,0.13799472621961223,5
Glucose_std,0.13089630520034867,6
HCT_delta,0.11691124340831767,7
Urine_last6_sum,0.11503851672122278,8
Creatinine_mean,0.11327277465194341,9
Creatinine_last,0.10998836352295464,10
RespRate_count,0.10971106657351679,11
NIDiasABP_last,0.10789856564352407,12
Weight_max,0.09805974880085869,13
RespRate_delta,0.09799752179044112,14
RespRate_mean,0.09578579772642588,15
NISysABP_last,0.09294594365354682,16
HR_min,0.08668317044862199,17
PaO2_std,0.08283182226578995,18
ICUType_first,0.08125494112257341,19
HCT_last,0.07961876103713585,20
Platelets_last,0.07267657932517757,21
BUN_mean,0.0722205742904067,22
RespRate_std,0.07124436601102582,23
SysABP_min,0.06691691693174266,24
Temp_mean,0.06242558691550153,25
K_std,0.061710444143124585,26
Creatinine_relative_delta,0.05710791435699785,27
NIMAP_delta,0.05694548839603978,28
SysABP_last,0.05678099231520023,29
BUN_last,0.05643014204153043,30
WBC_delta,0.05621282307969148,31
BUN_Creatinine_ratio_last,0.0560840961392517,32
PaO2_max,0.0552636461649877,33
Platelets_std,0.05436013130653153,34
PaO2_last,0.054008470442688736,35
SysABP_delta,0.05145032885685475,36
Weight_count,0.051314254794293995,37
Weight_mean,0.050883126561885976,38
pH_std,0.049779745952870325,39
RespRate_max,0.0483827485482482,40
NISysABP_max,0.04789315802188817,41
WBC_min,0.04768498300876369,42
Urine_ml_per_kg_hr_last12_mean,0.0474725189291358,43
NISysABP_mean,0.04726756910195013,44
Urine_ml_per_kg_hr_min,0.04649514294127588,45
MechVent_count,0.04482738201848219,46
K_mean,0.044741717893536044,47
BUN_min,0.04468683219613859,48
PaO2_count,0.04424591426971164,49
NIMAP_last,0.04423140692769725,50
SysABP_std,0.044161459275927496,51
HR_std,0.044011553931480436,52
NIMAP_min,0.04381655979901763,53
NISysABP_delta,0.04363648712345431,54
WBC_last,0.0434589412293253,55
pH_last,0.04274041899485769,56
Urine_last12_sum,0.04201737475311918,57
Platelets_min,0.04103936723952135,58
PaO2_min,0.040206141066061685,59
FiO2_mean,0.0384979213713811,60
Na_last,0.03737001040460022,61
MAP_mean,0.03703766083241117,62
Mg_delta,0.03697972608695214,63
Lactate_last,0.03649943042174212,64
Urine_longest_low_output_streak,0.035943814189300975,65
Urine_sum,0.03592468899542157,66
HCO3_mean,0.03525354023681309,67
K_delta,0.033622885335818385,68
pH_count,0.03321604273089676,69
HCT_max,0.03273403008616207,70
Temp_delta,0.032543607460646544,71
Temp_min,0.03237097624362913,72
NIMAP_max,0.03076342021819549,73
Urine_count,0.030474058970232185,74
NIDiasABP_delta,0.029865056213129158,75
Mg_mean,0.029572239934190947,76
HR_max,0.029570163826511432,77
PaCO2_std,0.029376168638496767,78
HCT_min,0.029153430718309774,79
BUN_std,0.028322928400686453,80
MAP_max,0.027943879160671137,81
PaCO2_max,0.027936069051823817,82
BUN_Creatinine_ratio_mean,0.0279197706042124,83
Temp_std,0.027726925780407707,84
NISysABP_min,0.02760082900180096,85
FiO2_std,0.027252046917870813,86
WBC_std,0.026918077353882217,87
Na_mean,0.02691439655762393,88
Glucose_last,0.02682700448110625,89
Na_min,0.02666360189693177,90
FiO2_count,0.026597547038269043,91
HR_last,0.02593040530264507,92
pH_min,0.02574097346050523,93
Temp_last,0.025665262580296586,94
Creatinine_max,0.025431956340840816,95
DiasABP_min,0.02522582990088283,96
Glucose_max,0.024725785670570582,97
NIDiasABP_mean,0.024711661827388764,98
Platelets_max,0.024617468402449917,99
Glucose_delta,0.024137882741806838,100
Urine_ml_per_kg_hr_mean,0.024074875681116,101
NIDiasABP_std,0.023647287098451108,102
Temp_count,0.023444315984763736,103
TroponinT_min,0.02342740056903878,104
Lactate_delta,0.023291325118228314,105
HCO3_max,0.023189006438141986,106
HR_delta,0.023029069978864482,107
